date,prcp,RH,tmax,tmin,vp,discharge
2000/6/4,35,81,272,192,9812,1800
2000/6/5,32700,79,279,193,9796,1310
2000/6/6,0,71,304,196,9785,1200
2000/6/7,32700,65,312,195,9766,1150
2000/6/8,1,71,302,207,9767,1040
2000/6/9,0,70,322,190,9761,602
2000/6/10,32700,52,304,227,9802,483
2000/6/11,0,55,318,165,9798,432
2000/6/12,0,68,276,190,9815,352
2000/6/13,0,65,322,182,9810,274
2000/6/14,0,60,314,187,9774,227
2000/6/15,0,58,342,175,9744,248
2000/6/16,0,59,339,206,9779,192
2000/6/17,0,60,329,174,9823,171
2000/6/18,0,64,315,215,9824,108
2000/6/19,32700,76,296,214,9799,136
2000/6/20,0,64,333,174,9760,107
2000/6/21,112,80,300,204,9746,326
2000/6/22,0,76,313,197,9735,428
2000/6/23,0,74,323,235,9723,416
2000/6/24,62,86,296,246,9708,252
2000/6/25,372,95,257,235,9710,478
2000/6/26,264,96,248,232,9742,1060
2000/6/27,231,94,245,222,9765,2470
2000/6/28,294,94,251,225,9751,3790
2000/6/29,0,79,351,195,9748,6560
2000/6/30,0,73,354,215,9756,2340
2000/7/1,2,85,305,235,9774,1500
2000/7/2,282,95,249,207,9764,1990
2000/7/3,114,95,226,215,9763,1520
2000/7/4,5,87,297,215,9754,3910
2000/7/5,0,76,333,235,9761,2260
2000/7/6,0,76,332,231,9767,1450
2000/7/7,315,84,312,229,9765,1360
2000/7/8,14,84,310,228,9761,1300
2000/7/9,32700,80,324,233,9764,1320
2000/7/10,0,75,337,235,9776,1290
2000/7/11,32700,79,301,239,9786,1250
2000/7/12,249,93,271,222,9779,1160
2000/7/13,660,92,267,218,9739,5650
2000/7/14,143,93,251,220,9726,12200
2000/7/15,58,90,274,224,9724,7260
2000/7/16,3,78,339,240,9733,2540
2000/7/17,0,78,355,235,9718,1890
2000/7/18,0,75,345,264,9704,1740
2000/7/19,7,81,341,243,9718,1390
2000/7/20,2,76,344,240,9740,1360
2000/7/21,0,77,357,245,9744,1300
2000/7/22,1,76,371,262,9717,1260
